 1.0000000000000000e+00   1.0000000000000000e-03   3.3333333333333335e-05   3.3333333333333334e-08  ! rhol, rhog, mul, mug
 6.6666666666666670e-05   6.6666666666666670e-05   9.2222222222222233e-02   4.7619047619047619e-04  ! f1, f2, g, sigma
 1.0000000000000000e+00  ! alpha
 7.5891076682694115e-03  -1.7775182167573941e-01  ! gamma
-4.6110198442996386e-01   8.8734714737511233e-01  ! a
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U1 = 1.0 + A*y + B*y^2
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U2 = 1.0 + A*y + B*y^2
 2.9544180598844749e-01  -5.6011508401254428e-01  -5.9741538104338687e-01  -3.0061608371438259e-01
 2.8636809140877184e-01  -5.4283560146380716e-01  -6.0513686685560442e-01  -3.0468919451182397e-01
 2.8225158606563694e-01  -5.3499770538132840e-01  -6.0859291034396779e-01  -3.0651245849878750e-01
 2.8225158606563600e-01  -5.3499770538132618e-01  -6.0859291034396512e-01  -3.0651245849878644e-01
 2.7815890874843652e-01  -5.2720601478713569e-01  -6.1199883824963397e-01  -3.0830940009838420e-01
 2.6930293781460007e-01  -5.1034876120839323e-01  -6.1926251476174043e-01  -3.1214205444275456e-01
 2.5737775329730739e-01  -4.8765545018050332e-01  -6.2880287893428111e-01  -3.1717683559415177e-01
 2.4453004860469707e-01  -4.6321448327903397e-01  -6.3875299515752115e-01  -3.2242892037629456e-01
 2.3296669429370959e-01  -4.4122373463682657e-01  -6.4739895610042564e-01  -3.2699354843669576e-01
 2.2459564400421425e-01  -4.2530803379509763e-01  -6.5346536539305455e-01  -3.3019684996499382e-01
 2.2078745805237010e-01  -4.1806872329768602e-01  -6.5616963342802326e-01  -3.3162496079285303e-01
 2.2078745805236999e-01  -4.1806872329768574e-01  -6.5616963342802359e-01  -3.3162496079285303e-01
 2.1699482138984000e-01  -4.1085965777784289e-01  -6.5882757328218156e-01  -3.3302869986180678e-01
 2.0876584345967128e-01  -3.9522030079510090e-01  -6.6447078055189479e-01  -3.3600936881656229e-01
 1.9763653510236798e-01  -3.7407380441199506e-01  -6.7182488050194999e-01  -3.3989439527584531e-01
 1.8558342851967469e-01  -3.5117837067544250e-01  -6.7941417929398851e-01  -3.4390455320978491e-01
 1.7467875418255768e-01  -3.3046996301867765e-01  -6.8593045682818343e-01  -3.4734851631458435e-01
 1.6675070375517892e-01  -3.1541747820249288e-01  -6.9045220908873473e-01  -3.4973880989652800e-01
 1.6313454681613193e-01  -3.0855258333866004e-01  -6.9245295733562384e-01  -3.5079658090805482e-01
 1.6313454681613193e-01  -3.0855258333866004e-01  -6.9245295733562384e-01  -3.5079658090805482e-01
 1.5952720674570198e-01  -3.0170496204977898e-01  -6.9440973686530472e-01  -3.5183119001863250e-01
 1.5167970852273510e-01  -2.8681028748178633e-01  -6.9852984453781231e-01  -3.5400990499642271e-01
 1.4102105918542010e-01  -2.6658387086171687e-01  -7.0382011205917294e-01  -3.5680803284816187e-01
 1.2941807035518640e-01  -2.4457027985149776e-01  -7.0916910934948463e-01  -3.5963806113324170e-01
 1.1886634414471679e-01  -2.2455531625883943e-01  -7.1365383342967359e-01  -3.6201160185883935e-01
 1.1116196668729736e-01  -2.0994377823642563e-01  -7.1669572154608086e-01  -3.6362201033789077e-01
 1.0763845796914487e-01  -2.0326220623814997e-01  -7.1802066176184220e-01  -3.6432359155189592e-01
 1.0763845796914499e-01  -2.0326220623815006e-01  -7.1802066176184309e-01  -3.6432359155189631e-01
 1.0411765961891187e-01  -1.9658639576351089e-01  -7.1930277189717773e-01  -3.6500258538393054e-01
 9.6439263606040368e-02  -1.8202746110648532e-01  -7.2195342327758827e-01  -3.6640666967487651e-01
 8.5971762164496854e-02  -1.6215785206815378e-01  -7.2524387452264139e-01  -3.6815051214474964e-01
 7.4371973205565226e-02  -1.4044609685805914e-01  -7.2841010740124468e-01  -3.6982908167286765e-01
 6.4626917031543551e-02  -1.2148451938353838e-01  -7.3091285390973626e-01  -3.7115267612766412e-01
 6.0714460907167415e-02  -1.0323510963281415e-01  -7.3249952107121397e-01  -3.7202891683581030e-01
 5.5903210661199410e-02  -8.9193503252317896e-02  -7.3311892806977264e-01  -3.7240609367281308e-01
 5.5903210661990825e-02  -8.9193503244831496e-02  -7.3311892806977197e-01  -3.7240609367281274e-01
-7.6034959270609076e-02   1.5707887945966678e-03  -7.3341501157245792e-01  -3.7226035177964134e-01
-8.6018835286772649e-02   1.2443055400237089e-01  -7.3232574158836494e-01  -3.7094336912832943e-01
-7.2729966350885342e-02   1.4271384539246640e-01  -7.2971196335065569e-01  -3.6951973656198794e-01
-8.5870561324701111e-02   1.6220467630075647e-01  -7.2653672967173211e-01  -3.6785951534675315e-01
-9.6398964889254229e-02   1.8236738574340269e-01  -7.2324180495475443e-01  -3.6611605714076539e-01
-1.0404180546908690e-01   1.9694756554403572e-01  -7.2058620570471821e-01  -3.6471285216311228e-01
-1.0755965843993429e-01   2.0363114681607752e-01  -7.1930175616340364e-01  -3.6403435634573256e-01
-1.0755965843993429e-01   2.0363114681607752e-01  -7.1930175616340364e-01  -3.6403435634573256e-01
-1.1108165575975920e-01   2.1032285972522499e-01  -7.1797441866858569e-01  -3.6333328562140765e-01
-1.1878219541837282e-01   2.2496081015972530e-01  -7.1492704058404244e-01  -3.6172402542314092e-01
-1.2932624816133312e-01   2.4501218061847208e-01  -7.1043421472578949e-01  -3.5935216620609406e-01
-1.4092087095644712e-01   2.6706546018330451e-01  -7.0507555308891645e-01  -3.5652414658648118e-01
-1.5157194045741626e-01   2.8732840433837553e-01  -6.9977572849037128e-01  -3.5372800662461917e-01
-1.5941378568854395e-01   3.0224994309612363e-01  -6.9564817813236035e-01  -3.5155084038032564e-01
-1.6301851416193525e-01   3.0910994401641662e-01  -6.9368786402621430e-01  -3.5051696708746566e-01
